species_ncbi_tax_id,ncbi_tax_id,organism_name,primary_key
318829,242507,Pyricularia oryzae 70-15,<i>Pyricularia oryzae</i> 70-15
936053,246409,Rhizopus delemar RA 99-880,<i>Rhizopus delemar</i> RA 99-880
5501,246410,Coccidioides immitis RS,<i>Coccidioides immitis</i> RS
2822231,273507,Phanerochaete chrysosporium RP-78,<i>Phanerodontia chrysosporium</i> RP-78
40410,283643,Cryptococcus deneoformans B-3501A,<i>Cryptococcus deneoformans</i> B-3501A
28985,284590,Kluyveromyces lactis NRRL Y-1140,<i>Kluyveromyces lactis</i> NRRL Y-1140
4952,284591,Yarrowia lipolytica CLIB122,<i>Yarrowia lipolytica</i> CLIB122
4959,284592,Debaryomyces hansenii CBS767,<i>Debaryomyces hansenii</i> CBS767
5478,284593,Nakaseomyces glabratus CBS 138,<i>Nakaseomyces glabratus</i> CBS 138
4896,284812,Schizosaccharomyces pombe 972h-,<i>Schizosaccharomyces pombe</i> 972h-
4929,294746,Meyerozyma guilliermondii ATCC 6260,<i>Meyerozyma guilliermondii</i> ATCC 6260
5482,294747,Candida tropicalis MYA-3404,<i>Candida tropicalis</i> MYA-3404
5476,294748,Candida albicans WO-1,<i>Candida albicans</i> WO-1
1859096,294750,Cryptococcus deuterogattii R265,<i>Cryptococcus deuterogattii</i> R265
38033,306901,Chaetomium globosum CBS 148.51,<i>Chaetomium globosum</i> CBS 148.51
36911,306902,Clavispora lusitaniae ATCC 42720,<i>Clavispora lusitaniae</i> ATCC 42720
13684,321614,Parastagonospora nodorum SN15,<i>Parastagonospora nodorum</i> SN15
746128,330879,Aspergillus fumigatus Af293,<i>Aspergillus fumigatus</i> Af293
36630,331117,Aspergillus fischeri NRRL 181,<i>Aspergillus fischeri</i> NRRL 181
40559,332648,Botrytis cinerea B05.10,<i>Botrytis cinerea</i> B05.10
5059,332952,Aspergillus flavus NRRL3357,<i>Aspergillus flavus</i> NRRL3357
117187,334819,Fusarium verticillioides 7600,<i>Fusarium verticillioides</i> 7600
1047171,336722,Zymoseptoria tritici IPO323,<i>Zymoseptoria tritici</i> IPO323
33188,336963,Uncinocarpus reesii 1704,<i>Uncinocarpus reesii</i> 1704
33178,341663,Aspergillus terreus NIH2624,<i>Aspergillus terreus</i> NIH2624
5057,344612,Aspergillus clavatus NRRL 1,<i>Aspergillus clavatus</i> NRRL 1
5141,367110,Neurospora crassa OR74A,<i>Neurospora crassa</i> OR74A
37769,367775,Cryptococcus gattii WM276,<i>Cryptococcus gattii</i> WM276
36914,379508,Lodderomyces elongisporus NRRL YB-4239,<i>Lodderomyces elongisporus</i> NRRL YB-4239
5061,380704,Aspergillus niger ATCC 1015,<i>Aspergillus niger</i> ATCC 1015
1873960,383855,Pseudocercospora fijiensis CIRAD86,<i>Pseudocercospora fijiensis</i> CIRAD86
5105,392613,Ascosphaera apis ARSEF 7405,<i>Ascosphaera apis</i> ARSEF 7405
5501,396776,Coccidioides immitis H538.4,<i>Coccidioides immitis</i> H538.4
4897,402676,Schizosaccharomyces japonicus yFS275,<i>Schizosaccharomyces japonicus</i> yFS275
109871,403673,Batrachochytrium dendrobatidis JEL423,<i>Batrachochytrium dendrobatidis</i> JEL423
4787,403677,Phytophthora infestans T30-4,<i>Phytophthora infestans</i> T30-4
5501,404692,Coccidioides immitis RMSCC 2394,<i>Coccidioides immitis</i> RMSCC 2394
29875,413071,Trichoderma virens Gv29-8,<i>Trichoderma virens</i> Gv29-8
5297,418459,Puccinia graminis f. sp. tritici CRL 75-36-700-3,<i>Puccinia graminis</i> f. sp. tritici CRL 75-36-700-3
5061,425011,Aspergillus niger CBS 513.88,<i>Aspergillus niger</i> CBS 513.88
76775,425264,Malassezia restricta CBS 7877,<i>Malassezia restricta</i> CBS 7877
76773,425265,Malassezia globosa CBS 7966,<i>Malassezia globosa</i> CBS 7966
5507,426428,Fusarium oxysporum f. sp. lycopersici 4287,<i>Fusarium oxysporum</i> f. sp. lycopersici 4287
51453,431241,Trichoderma reesei QM6a,<i>Trichoderma reesei</i> QM6a
2052682,431595,Globisporangium ultimum DAOM BR144,<i>Globisporangium ultimum</i> DAOM BR144
28564,441959,Talaromyces stipitatus ATCC 10500,<i>Talaromyces stipitatus</i> ATCC 10500
37727,441960,Talaromyces marneffei ATCC 18224,<i>Talaromyces marneffei</i> ATCC 18224
199306,443226,Coccidioides posadasii str. Silveira,<i>Coccidioides posadasii</i> str. Silveira
5037,447093,Histoplasma capsulatum G186AR,<i>Histoplasma capsulatum</i> G186AR
5037,447094,Histoplasma capsulatum G217B,<i>Histoplasma capsulatum</i> G217B
5039,447095,Blastomyces dermatitidis ATCC 26199,<i>Blastomyces dermatitidis</i> ATCC 26199
746128,451804,Aspergillus fumigatus A1163,<i>Aspergillus fumigatus</i> A1163
199306,454284,Coccidioides posadasii RMSCC 3488,<i>Coccidioides posadasii</i> RMSCC 3488
5501,454286,Coccidioides immitis RMSCC 3703,<i>Coccidioides immitis</i> RMSCC 3703
199306,469470,Coccidioides posadasii RMSCC 2133,<i>Coccidioides posadasii</i> RMSCC 2133
199306,469471,Coccidioides posadasii RMSCC 3700,<i>Coccidioides posadasii</i> RMSCC 3700
